Name,R-Sho,L-Sho,L-Elb,R-Elb,L-Wr,R-Wr,L-Hip,R-Hip,L-Knee,R-Knee,L-Ank,R-Ank,Color,Class
J_V1-frame7.jpg,16.55,17.89,91.07,71.59,136.36,122.2,106.17,102.84,159.68,162.19,208.68,211.83,blue,NV
J_V1-frame17.jpg,22.14,16.03,58.8,71.59,94.05,122.15,103.31,108.47,158.09,164.15,202.79,210.83,blue,NV
J_V1-frame19.jpg,22.14,16.03,91.07,72.12,136.36,122.2,104.2,108.26,157.7,164.15,202.79,210.83,blue,NV
J_V1-frame28.jpg,22.02,17.09,53.24,73.38,34.01,124.2,110.49,110.17,159.54,172.8,202.41,212.43,blue,NV
J_V1-frame34.jpg,16.03,21.84,60.03,72.03,37.85,116.02,105.68,103.37,160.22,163.77,203.58,212.6,blue,NV
J_V1-frame35.jpg,16.03,22.14,60.9,72.03,36.88,122.02,106.55,103.37,160.22,163.77,204.57,212.6,blue,NV
J_V1-frame44.jpg,15.03,17.46,60.9,70.61,30.81,116.0,106.17,102.61,158.23,157.09,204.75,212.81,blue,NV
J_V1-frame57.jpg,15.0,17.46,60.9,69.63,27.78,116.0,102.42,102.61,159.2,158.86,211.83,212.05,blue,NV
J_V1-frame69.jpg,15.03,16.55,61.4,70.41,31.05,116.21,105.48,105.36,165.42,168.55,211.83,212.05,blue,NV
J_V1-frame80.jpg,16.55,16.03,64.64,76.49,37.0,122.0,109.66,109.66,172.03,170.45,218.68,218.89,blue,NV
J_V1-frame89.jpg,16.03,17.46,59.67,70.83,38.0,122.0,108.75,109.44,171.05,169.19,218.68,218.89,blue,NV
J_V1-frame90.jpg,16.03,23.09,59.67,71.81,38.0,122.0,108.75,108.47,166.4,169.19,218.68,218.89,blue,NV
J_V1-frame99.jpg,60.01,48.37,111.02,71.06,132.41,126.27,142.01,135.42,236.0,244.01,315.36,335.77,blue,NV
J_V1-frame99.jpg,22.47,17.89,44.94,71.59,59.09,122.0,107.7,109.88,172.47,176.47,219.87,219.1,lime,NV
J_V1-frame105.jpg,52.0,47.0,103.32,102.49,136.36,126.27,137.64,139.13,236.0,244.01,315.36,335.77,blue,NV
J_V1-frame105.jpg,22.14,17.89,49.04,71.59,86.4,122.0,106.78,109.66,172.47,169.5,218.68,219.1,lime,NV
J_V1-frame118.jpg,41.59,45.01,103.59,78.39,103.23,115.73,119.87,115.16,190.24,185.13,315.36,335.77,blue,NV
J_V1-frame118.jpg,22.14,17.46,59.67,71.59,97.95,122.0,109.17,109.88,167.44,169.81,218.89,219.1,lime,NV
J_V1-frame120.jpg,40.01,44.41,98.48,71.87,96.18,103.81,109.66,108.17,177.12,172.8,315.36,335.77,blue,NV
J_V1-frame120.jpg,17.03,16.55,58.9,70.83,98.08,122.0,108.34,109.44,170.84,169.19,218.68,218.89,lime,NV
J_V1-frame121.jpg,39.46,45.01,99.32,74.25,96.67,108.26,115.04,113.28,178.39,176.74,315.36,335.77,blue,NV
J_V1-frame121.jpg,16.03,16.55,58.9,70.83,98.08,122.0,109.66,109.44,171.27,170.45,218.68,218.89,lime,NV
J_V1-frame141.jpg,37.01,38.0,87.68,64.38,92.42,53.76,108.75,100.0,166.01,161.79,229.53,217.08,blue,NV
J_V1-frame141.jpg,23.09,17.89,66.61,72.12,105.21,122.0,107.34,109.66,171.02,168.96,218.51,218.89,lime,NV
J_V1-frame143.jpg,38.64,31.0,82.88,63.66,77.2,55.08,106.4,100.0,170.88,161.7,227.09,215.23,blue,NV
J_V1-frame143.jpg,23.09,17.89,66.03,72.12,109.29,122.0,107.34,109.66,172.47,175.21,217.52,218.89,lime,NV
J_V1-frame149.jpg,37.66,31.06,82.33,55.47,136.36,126.27,106.04,100.18,163.81,162.2,225.5,215.52,blue,NV
J_V1-frame149.jpg,22.47,18.79,91.07,72.8,136.36,121.0,107.7,109.88,172.47,170.76,217.71,219.1,lime,NV
J_V1-frame155.jpg,37.12,31.78,82.1,58.26,68.25,126.27,102.79,105.23,165.52,166.0,228.3,219.18,blue,NV
J_V1-frame155.jpg,22.47,17.89,91.07,72.12,136.36,122.0,107.34,109.66,170.84,170.45,223.01,218.89,lime,NV
J_V1-frame163.jpg,38.64,31.78,82.38,55.22,136.36,126.27,103.74,100.32,166.21,167.0,228.04,221.14,blue,NV
J_V1-frame163.jpg,22.47,17.46,91.07,77.88,136.36,122.0,107.34,108.68,170.84,168.0,222.14,218.89,lime,NV
J_V1-frame164.jpg,38.64,31.78,82.38,55.22,64.4,126.27,103.74,100.32,166.21,167.0,228.04,221.11,blue,NV
J_V1-frame164.jpg,22.47,17.46,65.22,77.88,104.4,122.0,107.34,109.66,169.85,168.0,217.52,218.89,lime,NV
J_V1-frame177.jpg,37.85,37.66,76.4,54.64,101.52,126.27,103.74,99.25,166.21,161.0,228.04,220.15,blue,NV
J_V1-frame177.jpg,22.47,17.46,66.61,73.08,104.4,122.0,107.34,109.66,170.84,168.0,217.52,218.89,lime,NV
J_V1-frame193.jpg,32.98,37.66,81.54,60.21,136.36,126.27,105.34,99.32,166.21,162.0,222.95,220.11,blue,NV
J_V1-frame193.jpg,23.41,17.89,91.07,72.12,136.36,122.0,107.34,109.66,165.42,167.72,217.52,218.89,lime,NV
J_V1-frame205.jpg,33.73,37.85,86.4,55.87,136.36,126.27,106.28,100.32,167.17,162.0,229.0,221.11,blue,NV
J_V1-frame205.jpg,17.89,23.41,65.0,70.83,108.07,122.2,109.66,111.13,171.27,169.81,218.68,220.23,lime,NV
J_V1-frame207.jpg,32.98,38.64,86.21,54.45,136.36,126.27,105.69,99.25,166.48,162.0,228.3,220.15,blue,NV
J_V1-frame207.jpg,18.38,22.14,63.82,71.06,106.83,122.15,109.25,110.86,167.61,169.5,218.48,219.99,lime,NV
J_V1-frame208.jpg,32.98,38.64,86.21,55.15,136.36,126.27,105.69,99.25,166.48,162.0,228.3,221.14,blue,NV
J_V1-frame208.jpg,17.46,23.41,65.22,70.83,107.45,122.15,109.66,111.13,172.24,171.47,218.68,220.23,lime,NV
J_V1-frame211.jpg,32.98,38.64,86.21,55.15,136.36,42.15,105.69,99.25,166.48,161.0,223.49,221.14,blue,NV
J_V1-frame211.jpg,17.46,22.47,65.22,70.83,107.45,122.15,109.66,111.13,172.03,169.5,218.68,220.23,lime,NV
J_V1-frame223.jpg,38.47,37.66,82.22,65.22,136.36,126.27,104.69,100.32,165.66,162.11,221.68,221.0,blue,NV
J_V1-frame223.jpg,17.46,23.41,65.46,70.83,107.45,122.15,109.25,111.13,172.03,170.45,213.46,220.23,lime,NV
J_V1-frame232.jpg,39.01,38.47,85.56,79.03,136.36,126.27,103.45,99.32,164.68,162.0,221.44,220.0,blue,NV
J_V1-frame232.jpg,17.46,22.47,91.07,70.83,136.36,122.15,109.25,111.13,172.03,170.45,218.68,220.23,lime,NV
J_V1-frame233.jpg,39.01,38.47,85.56,41.44,136.36,126.27,103.45,99.32,164.68,166.0,221.44,220.0,blue,NV
J_V1-frame233.jpg,17.46,22.47,91.07,70.83,136.36,122.15,109.25,111.13,171.05,169.5,213.46,220.23,lime,NV
J_V1-frame240.jpg,38.01,38.01,86.28,46.14,136.36,126.27,104.69,101.32,166.9,168.0,221.44,216.0,blue,NV
J_V1-frame240.jpg,17.46,23.41,91.07,70.83,136.36,122.15,109.25,111.13,171.27,169.5,218.68,220.23,lime,NV
J_V1-frame251.jpg,38.0,39.01,85.56,59.03,136.36,126.27,106.04,100.24,166.21,167.0,220.71,220.0,blue,NV
J_V1-frame251.jpg,17.46,22.47,91.07,70.83,136.36,122.15,109.25,111.13,172.96,170.45,218.68,220.23,lime,NV
J_V1-frame262.jpg,38.0,38.0,85.56,54.45,136.36,126.27,105.69,99.32,166.21,161.0,221.44,214.0,blue,NV
J_V1-frame262.jpg,17.89,22.14,91.07,72.78,136.36,124.15,109.66,112.09,173.0,170.45,219.66,221.2,lime,NV
J_V1-frame267.jpg,39.0,38.0,85.56,55.15,136.36,126.27,105.69,99.32,166.21,162.0,220.47,215.0,blue,NV
J_V1-frame267.jpg,17.46,23.41,91.07,71.81,136.36,122.15,109.25,110.86,172.03,170.45,218.68,220.23,lime,NV
J_V1-frame270.jpg,38.0,39.0,86.27,58.9,136.36,126.27,106.04,99.25,166.48,162.0,220.71,220.0,blue,NV
J_V1-frame270.jpg,17.46,22.47,91.07,71.81,136.36,122.15,109.25,111.13,173.92,170.45,218.68,219.99,lime,NV
J_V1-frame271.jpg,38.0,38.0,86.27,58.9,136.36,126.27,106.04,99.25,166.48,161.0,220.71,215.0,blue,NV
J_V1-frame271.jpg,17.46,22.47,91.07,70.83,136.36,122.15,109.66,111.13,172.96,169.5,218.68,219.99,lime,NV
J_V1-frame287.jpg,38.0,38.0,85.56,58.9,136.36,126.27,103.09,99.25,166.48,161.0,220.71,215.0,blue,NV
J_V1-frame287.jpg,17.46,22.47,91.07,70.83,136.36,122.15,109.25,110.86,172.24,175.51,218.68,219.99,lime,NV
J_V1-frame295.jpg,38.0,39.0,82.13,60.31,136.36,126.27,104.75,99.25,166.21,161.0,220.71,215.0,blue,NV
J_V1-frame295.jpg,17.0,17.89,91.07,70.61,136.36,122.2,107.34,111.13,172.47,169.81,218.68,220.23,lime,NV
J_V1-frame318.jpg,38.0,39.01,84.85,65.8,136.36,126.27,105.69,99.32,166.21,161.0,220.47,215.0,blue,NV
J_V1-frame318.jpg,16.55,17.0,91.07,70.61,136.36,122.15,106.98,111.13,172.03,175.21,217.18,218.68,lime,NV
J_V1-frame319.jpg,38.0,39.01,84.85,65.8,136.36,47.76,105.69,99.32,166.21,161.0,220.47,214.0,blue,NV
J_V1-frame319.jpg,17.0,17.0,91.07,76.49,136.36,123.2,107.34,111.13,172.03,170.45,217.35,218.68,lime,NV
J_V1-frame322.jpg,38.0,44.0,84.85,65.8,136.36,47.76,105.69,99.32,166.21,161.0,220.47,214.0,blue,NV
J_V1-frame322.jpg,17.0,15.65,91.07,77.47,136.36,123.0,106.98,109.88,163.96,169.81,215.34,217.35,lime,NV
J_V1-frame329.jpg,38.0,44.0,84.85,66.4,136.36,48.7,104.75,99.32,165.94,160.0,220.47,214.0,blue,NV
